Diseases,Affected Crop,Symptoms,Causes,Treatment,Prevention
Blast,Rice,Spindle-shaped lesions with gray center and brown margins on leaves; node and neck infection; drying of leaves and poor grain quality,Magnaporthe oryzae (fungus),"Seed treatment with Captan/Thiram/Carbendazim/Tricyclazole; spray Carbendazim, Edifenphos, Tricyclazole, or Azoxystrobin + Difenoconazole when symptoms appea","Use resistant varieties, remove weed hosts, avoid excess nitrogen, use healthy treated seeds"
Brown Spot,Rice,"Minute brown spots on leaves, leaf sheath and glumes; spots become oval/cylindrical with yellow halo; spots merge causing leaf drying; grain discoloration; poor seed germination and seedling mortality",Helminthosporium oryzae (fungus),Seed treatment with Thiram or Captan (4 g/kg); spray nursery with Edifenphos or Mancozeb; spray main field with Edifenphos or Mancozeb when disease appears,Use disease-free seeds; remove infected debris and weed hosts; use resistant varieties; avoid excess nitrogen fertilizer
Bacterial Leaf Blight,Rice,Yellow spots on leaf margins; seedling wilting (kresek); water-soaked lesions that turn straw-yellow; entire leaf dries; grain discoloration,Xanthomonas oryzae pv. oryzae (bacteria),Seed treatment with streptomycin + tetracycline; seedling root dipping; foliar spray of antibiotics in main field,Burn stubbles; avoid clipping seedling tips; avoid flooding; use optimum fertilizer; remove weed hosts
Rice Tungro,Rice,"Stunting, reduced tillering, yellow/orange-yellow leaves, delayed flowering, small panicles, sterile grains, plant death in severe cases",Rice tungro bacilliform virus (RTBV) and Rice tungro spherical virus (RTSV),"Control green leafhopper vectors; apply Carbofuran, Thiamethoxam, or Imidacloprid; spray potassium nitrate/urea mixture",Grow resistant varieties; use light traps and yellow sticky traps; remove weed hosts; crop rotation; deep ploughing and stubble burning
Sheath Rot,Rice,Greyish-brown spots on flag leaf sheath; panicles remain trapped or partially emerge; panicle rotting; white fungal growth inside sheath,Sarocladium oryzae (fungus),Seed treatment with Thiram or Bacillus subtilis; spray Thiophanate methyl; apply Hexaconazole,Grow resistant varieties; apply gypsum; use neem-based treatments; avoid dense planting and excess nitrogen
Sheath Blight,Rice,Oval greenish-grey spots near water level; lesions enlarge with brown borders; leaves dry and die; poor grain filling,Rhizoctonia solani (fungus),Spray Carbendazim; apply Bacillus subtilis to soil and foliage,Grow resistant varieties; apply organic amendments; deep summer ploughing; burn stubbles; prevent water flow from infected fields
Bacterial Leaf Streak,Rice,Fine translucent streaks along veins; lesions turn brown; yellow bacterial ooze appears; leaves dry in severe cases,Xanthomonas oryzae pv. oryzicola (bacteria),Seed treatment with Streptomycin + Tetracycline; seedling root dipping; foliar spray in main field,Burn stubbles; avoid clipping seedling tips; avoid flooding; remove weed hosts; use optimum fertilizer
Bakanae (Foot Rot),Rice,Abnormally tall seedlings; yellow-green leaves; drying at tillering stage; sterile or partially filled grains,Gibberella fujikuroi (fungus),"Seed treatment with Thiram, Captan, or Carbendazim (2 g/kg seed)",Use healthy treated seeds and avoid infected seed lots
Rice Yellow Dwarf,Rice,Stunted plants; yellowish-green leaves; excessive tillering; reduced roots; no or few panicles produced,Candidatus phytoplasma,Vector control using Thiamethoxam or Imidacloprid sprays,Use resistant varieties; crop rotation; remove weed hosts; deep ploughing; burn stubbles; avoid early planting
Rice Grassy Stunt,Rice,Severe stunting; excessive tillering; grassy appearance; yellow-green leaves with rusty spots; no panicles,Rice Grassy Stunt Virus (RGSV),"Control brown plant hopper using Phosalone, Acephate, or Chlorpyriphos",Grow resistant varieties; avoid close planting; destroy stubbles and alternate hosts
Grain Discolouration,Rice,"Brown, black, red, yellow, orange, pink, or dark spots on grains; reduced grain quality and yield","Brown, black, red, yellow, orange, pink, or dark spots on grains; reduced grain quality and yield",Seed treatment with Thiram or Bacillus subtilis; spray Thiophanate methyl or Hexaconazole + Zineb; Neem oil spray,Maintain field hygiene; take pre- and post-harvest preventive measures; avoid high humidity conditions
False Smut,Rice,Greenish velvety spore balls replace grains; few to several spikelets affected in a panicle,Ustilaginoidea virens (fungus),Seed treatment with Carbendazim; spray Copper Hydroxide or Thifluzamide + Difenoconazole at booting and pre-flowering stages,Use disease-free seeds; grow resistant varieties; split nitrogen application; remove infected debris; avoid excess nitrogen
Fusarium Wilt,Cotton,"Yellowing and drooping of leaves, vascular browning, stunted plants, fewer bolls",Fusarium oxysporum f.sp. vasinfectum,"Seed treatment with Chlorothalonil, Bacillus subtilis or Trichoderma; spot drenching with Carbendazim","Remove infected debris, crop rotation, organic manure application"
Verticillium Wilt,Cotton,"Interveinal chlorosis, leaf scorching, tiger stripe symptoms, barren plants, stem discoloration",Verticillium dahliae,"Seed treatment with Chlorothalonil, Bacillus subtilis or Trichoderma","Remove infected debris, crop rotation, organic manure application"
Root Rot,Cotton,"Black lesions on seedlings, bark shredding, root decay, drying and easy uprooting of plants",Rhizoctonia bataticola (Macrophomina phaseolina),"Seed treatment with Tetraconazole, Carboxin+Thiram, Trichoderma; Carbendazim drenching","Deep ploughing, neem cake/FYM application, proper sowing time, intercropping"
Grey(Areolate) Mildew,Cotton,"Pale angular leaf spots, grey powdery growth, yellowing and premature leaf fall",Ramularia areola,"Spray Wettable Sulphur, Chlorothalonil, Difenoconazole, Tebuconazole or Propiconazole","Remove crop residues, avoid excess nitrogen, maintain proper spacing"
Boll Rot,Cotton,"Brown/black spots on bolls, seed and lint rotting, premature boll drop","Fungal complex (Fusarium, Aspergillus, Rhizopus, etc.)","Spray Copper Oxychloride, Carbendazim or Mancozeb",Maintain optimum spacing and balanced fertilizer use
Alternaria Leaf Blight,Cotton,"Brown circular spots with concentric rings, leaf blight, leaf drop, boll infection",Alternaria macrospora,"Spray Copper Oxychloride, Chlorothalonil, Propiconazole or Pyraclostrobin","Remove infected debris, deep summer ploughing, avoid infected seeds"
Anthracnose,Cotton,"Reddish-brown depressed spots on bolls, seedling wilt, stem splitting, lint discoloration",Colletotrichum gossypii,Seed treatment with Chlorothalonil; spray Copper Oxychloride,"Remove infected bolls and debris, eliminate weed hosts"
Bacterial Blight,Cotton,"Angular leaf spots, vein necrosis, seedling blight, black arm symptoms, boll rot",Xanthomonas campestris pv. malvacearum,Seed treatment with Carboxin; spray Streptomycin + Copper Oxychloride,"Crop rotation, remove infected plants, rogue weed hosts, proper nutrition"
Cercospora Leaf Spot,Cotton,"Greyish leaf spots with dark borders, leaf spotting",Cercospora gossypina,"Spray Mancozeb, Copper Oxychloride, Carbendazim or Propiconazole","Remove infected plant residues, avoid dense planting"
Tobacco Streak Virus,Cotton,"Yellow spots, purple necrotic spots with yellow halo, reduced flowers, drying squares",Tobacco Streak Virus (TSV),"Seed treatment with Imidacloprid; spray Dinotefuran, Flonicamid or Imidacloprid","Remove infected plants, control weeds, manage thrips vectors"
Pokkah Boeng,Sugarcane,"Chlorotic, wrinkled, twisted and shortened leaves; top rot; knife-cut appearance on stem; shortened internodes; premature bud sprouting","Fusarium species complex (Fusarium sacchari, F. proliferatum, F. verticillioides)",Sett treatment with Propiconazole + Imidacloprid; spray Propiconazole with insecticide after symptom appearance,Use tolerant varieties (Co 86032); remove infected plant parts; monitor ants and mealybugs; proper fertilizer and micronutrient management
Anthracnose,Black Gram,Circular black sunken spots with dark center and orange-red margins on leaves and pods; leaf blight and withering,Colletotrichum lindemuthianum,"Seed treatment with Carbendazim; spray Mancozeb, Carbendazim, or Tebuconazole + Trifloxystrobin",Remove and destroy plant debris
Rust,Black Gram,"Brown spots on leaves, branches, and pods; defoliation during flowering and pod formation",Uromyces phaseoli,"Spray Mancozeb, Wettable Sulphur, Chlorothalonil, or Hexaconazole formulations",Monitor disease early and apply fungicides promptly
Cercospora Leaf Spot,Black Gram,Grey or pale-brown spots with dark margins; premature leaf fall and senescence,Cercospora canescens,"Spray Carbendazim, Mancozeb, Tebuconazole, or Pyraclostrobin mixture",Remove and burn infected plant debris
Powdery Mildew,Black Gram,"White powdery patches on leaves, stems, petioles, and pods; malformed pods; leaf shedding",Erysiphe polygoni,"Spray Wettable Sulphur, Propiconazole, Carbendazim, or neem-based products",Remove infected debris; apply neem oil/NSKE
Dry Root Rot,Black Gram,"Yellowing, drooping leaves, root rot, stem lesions, bark shredding, plant death",Rhizoctonia bataticola (Macrophomina phaseolina),Seed treatment with Trichoderma or Bacillus subtilis; Carbendazim drenching,"Apply neem cake, zinc sulphate, and Trichoderma to soil"
Yellow Mosaic,Black Gram,Yellow patches on leaves and pods; distorted pods; severe infection causes plant death,Mungbean Yellow Mosaic Virus (MYMV),Seed treatment with Imidacloprid; spray Acetamiprid; use yellow sticky traps,Remove infected plants; maize border rows; manage whiteflies
Leaf Crinkle,Black Gram,"Leaf crinkling, curling, chlorosis, shortened internodes, stunted growth, malformed flowers",Urdbean Leaf Crinkle Virus,Seed treatment with Imidacloprid or Dimethoate; spray insecticides if needed,Remove weed hosts; rogue infected plants; use neem extract sprays
Early Leaf Spot,Groundnut,Brown circular lesions with yellow halo on leaves; lesions on stems and petioles,Cercospora arachidicola,"Seed treatment with Carbendazim/Mancozeb; spray Carbendazim, Mancozeb or Chlorothalonil",Use treated seeds and maintain balanced nutrition
Late Leaf Spot,Groundnut,Black circular spots on lower leaf surface; leaflet shedding and early ageing,Cercospora personata,"Seed treatment with Carbendazim; spray Carbendazim, Mancozeb or Chlorothalonil","Crop rotation, intercropping, remove volunteer plants"
Rust,Groundnut,Reddish-brown pustules on leaves; severe defoliation,Puccinia arachidis,"Spray Mancozeb, Chlorothalonil or Wettable Sulphur",Avoid monocropping and remove volunteer plants
Stem Rot,Groundnut,"Sudden branch drying, white mycelial growth, mustard-like sclerotia",Sclerotium rolfsii,Seed treatment with Trichoderma; soil drenching with Carbendazim,"Deep ploughing, raised beds, soil application of Trichoderma"
Bud Necrosis,Groundnut,Chlorotic spots/rings on leaves; terminal bud death,Groundnut Bud Necrosis Virus (GBNV),Remove infected plants; spray Imidacloprid or Quinalphos,Control thrips vectors and remove infected plants early
